Player,Elo,Score,game_count,player_name,Pos,team,dob
Aaron Ekblad,1525.73359,67.06597472,69,Aaron Ekblad,D,FLA,2/7/96
Adam Clendening,1482.23784,22.47266291,81,Adam Clendening,D,EDM,10/26/92
Adam Cracknell,1487.10443,27.46205533,42,Adam Cracknell,R,EDM,7/15/85
Adam Henrique,1507.98175,48.86618885,125,Adam Henrique,C,NJD,2/6/90
Adam Larsson,1512.45072,53.44792781,68,Adam Larsson,D,NJD,11/12/92
Adam Lowry,1482.44489,22.68493756,102,Adam Lowry,C,WPG,3/29/93
Adam McQuaid,1498.72312,39.37392869,123,Adam McQuaid,D,BOS,10/12/86
Adam Pardy,1485.26017,25.57125769,109,Adam Pardy,D,EDM,3/29/84
Adam Pelech,1496.10042,36.68504808,16,Adam Pelech,D,NYI,8/16/94
Alec Martinez,1511.53773,52.51189963,133,Alec Martinez,D,LAK,7/26/87
Aleksander Barkov,1526.57,67.92349049,90,Aleksander Barkov,C,FLA,9/2/95
Ales Hemsky,1499.21618,39.87943046,86,Ales Hemsky,R,DAL,8/13/83
Alex Biega,1499.01872,39.6769878,20,Alex Biega,D,VAN,4/4/88
Alexander Burmistrov,1497.51749,38.1378761,123,Alexander Burmistrov,C,WPG,10/21/91
Alexandre Burrows,1496.14336,36.72907162,77,Alexandre Burrows,R,VAN,4/11/81
Alex Chiasson,1493.84956,34.3773904,47,Alex Chiasson,R,OTT,10/1/90
Alexander Edler,1516.58066,57.68208177,109,Alexander Edler,D,VAN,4/21/86
Alexei Emelin,1482.15087,22.38349833,125,Alexei Emelin,D,MTL,4/25/86
Alexey Marchenko,1486.69388,27.0411456,63,Alexey Marchenko,D,DET,1/2/92
Alex Galchenyuk,1528.57415,69.97821276,97,Alex Galchenyuk,C,MTL,2/12/94
Alex Goligoski,1521.14979,62.36650816,117,Alex Goligoski,D,DAL,7/30/85
Alex Killorn,1515.63968,56.7173573,115,Alex Killorn,C,TBL,9/14/89
Alex Ovechkin,1544.31053,86.11168097,97,Alex Ovechkin,L,WSH,9/17/85
Alex Petrovic,1485.02311,25.32821578,84,Alex Petrovic,D,FLA,3/3/92
Alex Pietrangelo,1526.90081,68.26264808,107,Alex Pietrangelo,D,STL,1/18/90
Alexander Steen,1530.6336,72.08963045,88,Alexander Steen,L,STL,3/1/84
Alex Tanguay,1508.59853,49.49853253,70,Alex Tanguay,L,ARI,11/21/79
Alexander Wennberg,1488.96329,29.36782138,83,Alexander Wennberg,C,CBJ,9/22/94
Al Montoya,1472.42324,12.41040354,96,Al Montoya,G,FLA,2/13/85
Anders Lee,1519.42548,60.59868731,109,Anders Lee,L,NYI,7/3/90
Anders Lindback,1476.56352,16.65515842,114,Anders Lindback,G,ARI,5/3/88
Anders Nilsson,1485.0477,25.35342627,102,Anders Nilsson,G,STL,3/19/90
Andreas Athanasiou,1502.16639,42.90408538,26,Andreas Athanasiou,C,DET,8/6/94
Andreas Martinsen,1491.34452,31.80913879,18,Andreas Martinsen,L,COL,6/13/90
Andre Burakovsky,1506.32717,47.16985755,91,Andre Burakovsky,L,WSH,2/9/95
Andrei Markov,1518.43554,59.58376739,79,Andrei Markov,D,MTL,12/20/78
Andrei Vasilevskiy,1510.07895,51.01630911,91,Andrei Vasilevskiy,G,TBL,7/25/94
Andrej Nestrasil,1482.41549,22.65479569,114,Andrej Nestrasil,C,CAR,2/22/91
Andrej Sekera,1505.22601,46.04091113,109,Andrej Sekera,D,EDM,6/8/86
Andrej Sustr,1481.67327,21.89384668,121,Andrej Sustr,D,TBL,11/29/90
Andrew Bodnarchuk,1490.29564,30.73379159,25,Andrew Bodnarchuk,D,COL,7/11/88
Andrew Cogliano,1505.25973,46.07548202,104,Andrew Cogliano,L,ANA,6/14/87
Andrew Copp,1476.65692,16.75091525,97,Andrew Copp,C,WPG,7/8/94
Andrew Desjardins,1483.08235,23.33848308,95,Andrew Desjardins,L,CHI,7/27/86
Andrew Ference,1476.84831,16.94713474,84,Andrew Ference,D,EDM,3/17/79
Andrew Hammond,1493.36914,33.88484759,115,Andrew Hammond,G,OTT,2/11/88
Andrew Ladd,1523.51849,64.79497939,95,Andrew Ladd,L,CHI,12/12/85
Andrew MacDonald,1488.0859,28.46829152,53,Andrew MacDonald,D,PHI,9/7/86
Andrew Shaw,1498.78557,39.43795454,135,Andrew Shaw,R,CHI,7/20/91
Andy Andreoff,1470.8359,10.78300896,104,Andy Andreoff,L,LAK,5/17/91
Andy Greene,1505.09258,45.90411419,113,Andy Greene,D,NJD,10/30/82
Anthony Bitetto,1491.56777,32.03802223,31,Anthony Bitetto,D,NSH,7/15/90
Anthony Duclair,1508.19833,49.08823398,30,Anthony Duclair,L,ARI,8/26/95
Anthony Peluso,1476.16413,16.2456903,87,Anthony Peluso,R,WPG,4/18/89
Antoine Roussel,1482.96999,23.22328782,114,Antoine Roussel,L,DAL,11/21/89
Antoine Vermette,1505.59548,46.41970425,93,Antoine Vermette,C,ARI,7/20/82
Anton Forsberg,1495.61508,36.18746112,13,Anton Forsberg,G,CBJ,11/27/92
Anton Lander,1468.35797,8.242551446,144,Anton Lander,C,EDM,4/24/91
Anton Stralman,1539.20194,80.87418198,123,Anton Stralman,D,TBL,8/1/86
Antti Niemi,1496.08213,36.66629656,85,Antti Niemi,G,DAL,8/29/83
Antti Raanta,1491.62203,32.09365141,133,Antti Raanta,G,NYR,5/12/89
Anze Kopitar,1548.83436,90.74966426,125,Anze Kopitar,C,LAK,8/24/87
Artem Anisimov,1503.54708,44.3196154,151,Artem Anisimov,C,CHI,5/24/88
Artemi Panarin,1519.67497,60.85447288,86,Artemi Panarin,L,CHI,10/30/91
Austin Watson,1478.24016,18.37410637,91,Austin Watson,L,NSH,1/13/92
Barret Jackman,1490.66809,31.11563991,84,Barret Jackman,D,NSH,3/5/81
Beau Bennett,1489.86801,30.29537087,94,Beau Bennett,R,PIT,11/27/91
Ben Bishop,1529.78402,71.21861234,110,Ben Bishop,G,TBL,11/21/86
Ben Chiarot,1487.04601,27.40216117,100,Ben Chiarot,D,WPG,5/9/91
Ben Hutton,1499.19688,39.85964345,51,Ben Hutton,D,VAN,4/20/93
Ben Lovejoy,1494.30645,34.84580945,111,Ben Lovejoy,D,PIT,2/20/84
Benoit Pouliot,1508.7848,49.68950283,93,Benoit Pouliot,L,EDM,9/29/86
Ben Scrivens,1479.27531,19.43537711,63,Ben Scrivens,G,MTL,9/11/86
Ben Smith,1471.29802,11.25679,89,Ben Smith,R,TOR,7/11/88
Blake Wheeler,1522.20339,63.44669446,86,Blake Wheeler,R,WPG,8/31/86
Bobby Farnham,1496.96952,37.57607875,13,Bobby Farnham,L,NJD,1/21/89
Bobby Ryan,1516.59435,57.69611722,91,Bobby Ryan,R,OTT,3/17/87
Bo Horvat,1500.30006,40.99066084,67,Bo Horvat,C,VAN,4/5/95
Boone Jenner,1504.43722,45.23221699,135,Boone Jenner,C,CBJ,6/15/93
Boyd Gordon,1480.59994,20.79343252,99,Boyd Gordon,C,ARI,10/19/83
Brad Boyes,1503.6803,44.45619704,39,Brad Boyes,R,TOR,4/17/82
Braden Holtby,1543.3682,85.14557243,114,Braden Holtby,G,WSH,9/16/89
Brad Malone,1469.10862,9.012143176,118,Brad Malone,C,CAR,5/20/89
Brad Marchand,1526.54404,67.89687543,96,Brad Marchand,L,BOS,5/11/88
Brad Richards,1493.21724,33.72911458,67,Brad Richards,C,DET,5/2/80
Brad Richardson,1488.33633,28.72504081,87,Brad Richardson,R,ARI,2/4/85
Brad Stuart,1475.93968,16.01557658,96,Brad Stuart,D,COL,11/6/79
Brandon Bollig,1460.31829,0,128,Brandon Bollig,L,CGY,1/31/87
Brandon Davidson,1486.73455,27.08284186,63,Brandon Davidson,D,EDM,8/21/91
Brandon Dubinsky,1524.99736,66.31116686,117,Brandon Dubinsky,C,CBJ,4/29/86
Brandon Manning,1482.86302,23.11361856,112,Brandon Manning,D,PHI,6/4/90
Brandon Mashinter,1488.56449,28.95895815,26,Brandon Mashinter,L,CHI,9/20/88
Brandon Pirri,1499.68542,40.36051115,122,Brandon Pirri,C,ANA,4/10/91
Brandon Saad,1528.23526,69.63077128,96,Brandon Saad,L,CBJ,10/27/92
Brandon Sutter,1477.74464,17.86608253,120,Brandon Sutter,C,VAN,2/14/89
Brayden McNabb,1507.08676,47.94861487,112,Brayden McNabb,D,LAK,1/21/91
Brayden Schenn,1501.65621,42.38103162,115,Brayden Schenn,C,PHI,8/22/91
Braydon Coburn,1509.52582,50.44922156,112,Braydon Coburn,D,TBL,2/27/85
Brendan Gallagher,1521.30871,62.52943831,84,Brendan Gallagher,R,MTL,5/6/92
Brendan Gaunce,1489.68484,30.1075788,30,Brendan Gaunce,C,VAN,3/25/94
Brendan Smith,1498.1151,38.75056606,105,Brendan Smith,D,DET,2/8/89
Brenden Dillon,1484.13065,24.41323564,119,Brenden Dillon,D,SJS,11/13/90
Brent Burns,1541.87398,83.61364762,133,Brent Burns,D,SJS,3/9/85
Brent Seabrook,1527.20741,68.57698475,143,Brent Seabrook,D,CHI,4/20/85
Brett Connolly,1499.08991,39.74997419,120,Brett Connolly,R,BOS,5/2/92
Brett Pesce,1495.00894,35.56602593,17,Brett Pesce,D,CAR,11/15/94
Brett Ritchie,1498.62869,39.27711587,27,Brett Ritchie,R,DAL,7/1/93
Brian Boyle,1504.76708,45.5704006,121,Brian Boyle,C,TBL,12/18/84
Brian Campbell,1510.70159,51.65466067,83,Brian Campbell,D,FLA,5/23/79
Brian Dumoulin,1477.51905,17.63480004,117,Brian Dumoulin,D,PIT,9/6/91
Brian Elliott,1515.93866,57.02388169,122,Brian Elliott,G,STL,4/9/85
Brian Flynn,1461.066,0.766577543,126,Brian Flynn,C,MTL,7/26/88
Brian Gionta,1490.85935,31.31172612,68,Brian Gionta,R,BUF,1/18/79
Brian Strait,1477.69101,17.81109924,100,Brian Strait,D,NYI,1/4/88
Brock Nelson,1515.30986,56.3792147,114,Brock Nelson,L,NYI,10/15/91
Brooks Laich,1485.58974,25.90914399,112,Brooks Laich,C,TOR,6/23/83
Brooks Orpik,1497.52262,38.14313555,92,Brooks Orpik,D,WSH,9/26/80
Bryan Little,1516.02516,57.11256441,123,Bryan Little,C,WPG,11/12/87
Bryan Rust,1496.23702,36.82509502,24,Bryan Rust,R,PIT,5/11/92
Byron Froese,1488.30028,28.68808113,32,Byron Froese,C,TOR,3/12/91
Cal Clutterbuck,1479.87794,20.05321373,102,Cal Clutterbuck,R,NYI,11/18/87
Calle Jarnkrok,1492.65955,33.15735196,125,Calle Jarnkrok,C,NSH,9/25/91
Cal OReilly,1496.21422,36.80171969,16,Cal OReilly,C,BUF,9/30/86
Calvin de Haan,1499.46174,40.13118686,97,Calvin de Haan,D,NYI,5/9/91
Calvin Pickard,1498.92735,39.58331219,28,Calvin Pickard,G,COL,4/15/92
Cam Atkinson,1502.39926,43.14283157,100,Cam Atkinson,R,CBJ,6/5/89
Cam Fowler,1526.88306,68.24445018,114,Cam Fowler,D,ANA,12/5/91
Cam Talbot,1505.32611,46.14353703,128,Cam Talbot,G,EDM,7/5/87
Cam Ward,1482.337,22.57432509,117,Cam Ward,G,CAR,2/29/84
Carey Price,1548.91753,90.83493295,136,Carey Price,G,MTL,8/16/87
Carl Gunnarsson,1486.39789,26.73768666,124,Carl Gunnarsson,D,STL,11/9/86
Carl Hagelin,1522.60132,63.85466573,109,Carl Hagelin,L,PIT,8/23/88
Carlo Colaiacovo,1492.55799,33.05322921,105,Carlo Colaiacovo,D,BUF,1/27/83
Carl Soderberg,1508.15165,49.04037606,105,Carl Soderberg,C,COL,10/12/85
Carter Hutton,1462.61374,2.35337286,146,Carter Hutton,G,NSH,12/19/85
Casey Cizikas,1478.19553,18.32835018,109,Casey Cizikas,C,NYI,2/27/91
Cedric Paquette,1479.60168,19.76998265,102,Cedric Paquette,C,TBL,8/13/93
Chad Johnson,1472.60388,12.59560177,112,Chad Johnson,G,BUF,6/10/86
Charles Hudon,1497.43556,38.0538787,9,Charles Hudon,L,MTL,6/23/94
Charlie Coyle,1505.17089,45.98440025,108,Charlie Coyle,C,MIN,3/2/92
Chris Bigras,1496.61827,37.21596539,25,Chris Bigras,D,COL,2/22/95
Chris Kelly,1477.69382,17.81398015,99,Chris Kelly,C,BOS,11/11/80
Chris Kreider,1520.16974,61.3617278,82,Chris Kreider,L,NYR,4/30/91
Chris Kunitz,1502.31622,43.05769616,78,Chris Kunitz,L,PIT,9/26/79
Chris Neil,1476.0499,16.12857785,81,Chris Neil,R,OTT,6/18/79
Chris Phillips,1479.98487,20.16284198,81,Chris Phillips,D,OTT,3/9/78
Chris Porter,1474.04061,14.06858588,104,Chris Porter,L,MIN,5/29/84
Chris Stewart,1486.80487,27.1549363,104,Chris Stewart,R,ANA,10/30/87
Christopher Tanev,1510.4676,51.41476622,100,Christopher Tanev,D,VAN,12/20/89
Chris Terry,1478.39603,18.53390956,93,Chris Terry,L,CAR,4/7/89
Chris Thorburn,1487.61462,27.98511935,80,Chris Thorburn,R,WPG,6/3/83
Christian Ehrhoff,1492.22321,32.71000145,63,Christian Ehrhoff,D,CHI,7/6/82
Chris Tierney,1491.90635,32.38514588,49,Chris Tierney,C,SJS,7/1/94
Chris VandeVelde,1468.51151,8.399965839,112,Chris VandeVelde,C,PHI,3/15/87
Chris Wideman,1485.00051,25.30504549,63,Chris Wideman,D,OTT,1/7/90
Clarke MacArthur,1508.50074,49.39827492,94,Clarke MacArthur,L,OTT,4/6/85
Claude Giroux,1541.84143,83.58027627,112,Claude Giroux,C,PHI,1/12/88
Clayton Stoner,1486.94678,27.30042723,122,Clayton Stoner,D,ANA,2/19/85
Cody Ceci,1493.31912,33.83356539,99,Cody Ceci,D,OTT,12/21/93
Cody Eakin,1498.05412,38.6880473,123,Cody Eakin,C,DAL,5/24/91
Cody Franson,1504.08729,44.87345693,61,Cody Franson,D,BUF,8/8/87
Cody Goloubef,1479.07655,19.23160164,113,Cody Goloubef,D,CBJ,11/30/89
Cody McCormick,1473.45579,13.46900867,106,Cody McCormick,C,BUF,4/18/83
Cody McLeod,1479.83887,20.01315785,80,Cody McLeod,L,COL,6/26/84
Colin Greening,1492.23252,32.71954638,66,Colin Greening,C,TOR,3/9/86
Colin Wilson,1518.93075,60.09147341,104,Colin Wilson,L,NSH,10/20/89
Colton Parayko,1511.62973,52.60622114,59,Colton Parayko,D,STL,5/12/93
Colton Sceviour,1481.99362,22.22228032,97,Colton Sceviour,C,DAL,4/20/89
Colton Sissons,1489.77301,30.19797367,29,Colton Sissons,C,NSH,11/5/93
Connor Carrick,1499.33636,40.00264305,15,Connor Carrick,D,TOR,4/13/94
Connor McDavid,1550.7968,92.76162402,136,Connor McDavid,C,EDM,1/13/97
Connor Murphy,1486.76992,27.11910438,74,Connor Murphy,D,ARI,3/26/93
Conor Sheary,1494.13423,34.66924369,28,Conor Sheary,L,PIT,8/6/92
Corey Crawford,1530.8264,72.28729552,115,Corey Crawford,G,CHI,12/31/84
Corey Perry,1532.94329,74.45760264,96,Corey Perry,R,ANA,5/16/85
Cory Schneider,1538.97753,80.64410927,110,Cory Schneider,G,NJD,3/18/86
Craig Anderson,1509.68703,50.61449949,95,Craig Anderson,G,OTT,5/21/81
Craig Smith,1510.25894,51.20084094,118,Craig Smith,R,NSH,9/5/89
Curtis Lazar,1494.68745,35.23642352,84,Curtis Lazar,R,OTT,2/2/95
Curtis McElhinney,1470.75627,10.7013696,106,Curtis McElhinney,G,CBJ,5/23/83
Dainius Zubrus,1481.43835,21.65299876,67,Dainius Zubrus,C,SJS,6/16/78
Dale Weise,1494.23483,34.77238221,93,Dale Weise,R,CHI,8/5/88
Dalton Prout,1472.87482,12.87337861,115,Dalton Prout,D,CBJ,3/13/90
Damon Severson,1503.99252,44.77629553,97,Damon Severson,D,NJD,8/7/94
Dan Boyle,1501.5327,42.25440499,85,Dan Boyle,D,NYR,7/12/76
Dan Girardi,1487.90873,28.28665085,88,Dan Girardi,D,NYR,4/29/84
Dan Hamhuis,1515.88252,56.96632507,96,Dan Hamhuis,D,VAN,12/13/82
Daniel Carr,1495.4405,36.00847581,14,Daniel Carr,L,MTL,11/1/91
Daniel Catenacci,1490.62597,31.07245706,23,Daniel Catenacci,C,BUF,3/9/93
Daniel Sedin,1516.63451,57.73729061,76,Daniel Sedin,L,VAN,9/26/80
Daniel Winnik,1500.63299,41.33199192,88,Daniel Winnik,L,WSH,3/6/85
Danny DeKeyser,1509.66643,50.59337968,112,Danny DeKeyser,D,DET,3/7/90
Darcy Kuemper,1476.61081,16.70364172,102,Darcy Kuemper,G,MIN,5/5/90
Darnell Nurse,1493.5526,34.07293698,19,Darnell Nurse,D,EDM,2/4/95
Darren Dietz,1489.22283,29.63391055,33,Darren Dietz,D,MTL,7/17/93
Darren Helm,1496.47796,37.07211484,120,Darren Helm,C,DET,1/21/87
Dave Bolland,1485.64503,25.96582916,122,Dave Bolland,C,FLA,6/5/86
David Backes,1529.43987,70.86577814,102,David Backes,C,STL,5/1/84
David Clarkson,1472.44728,12.43505016,100,David Clarkson,R,CBJ,3/31/84
David Desharnais,1497.22239,37.83532962,126,David Desharnais,C,MTL,9/14/86
David Jones,1487.41863,27.78418378,105,David Jones,R,MIN,8/10/84
David Krejci,1534.26648,75.81418171,122,David Krejci,C,BOS,4/28/86
David Legwand,1481.3819,21.59512432,92,David Legwand,C,BUF,8/17/80
David Pastrnak,1512.59066,53.59139903,68,David Pastrnak,R,BOS,5/25/96
David Perron,1515.02423,56.08637718,105,David Perron,L,ANA,5/28/88
David Savard,1486.17449,26.50864944,124,David Savard,D,CBJ,10/22/90
David Schlemko,1489.41255,29.8284179,64,David Schlemko,D,NJD,5/7/87
David Warsofsky,1495.23447,35.7972469,42,David Warsofsky,D,NJD,5/30/90
Dennis Rasmussen,1491.01847,31.47486132,39,Dennis Rasmussen,C,CHI,7/3/90
Dennis Seidenberg,1505.59594,46.42017586,91,Dennis Seidenberg,D,BOS,7/18/81
Dennis Wideman,1496.72597,37.32638307,92,Dennis Wideman,D,CGY,3/20/83
Derek Dorsett,1481.76522,21.98811693,98,Derek Dorsett,R,VAN,12/20/86
Derek MacKenzie,1481.13842,21.3455004,92,Derek MacKenzie,C,FLA,6/11/81
Derek Stepan,1531.51049,72.98864769,127,Derek Stepan,C,NYR,6/18/90
Derick Brassard,1511.07042,52.03279764,111,Derick Brassard,C,NYR,9/22/87
Derrick Pouliot,1503.0318,43.79133294,66,Derrick Pouliot,D,PIT,1/16/94
Deryk Engelland,1475.27715,15.33632845,97,Deryk Engelland,D,CGY,4/3/82
Devan Dubnyk,1524.25463,65.54969498,134,Devan Dubnyk,G,MIN,5/4/86
Devante Smith-Pelly,1492.72308,33.22248506,87,Devante Smith-Pelly,R,NJD,6/14/92
Dion Phaneuf,1512.92944,53.93872772,111,Dion Phaneuf,D,OTT,4/10/85
Dmitrij Jaskin,1489.66866,30.09099052,96,Dmitrij Jaskin,R,STL,3/23/93
Dmitry Kulikov,1510.00203,50.93744813,96,Dmitry Kulikov,D,FLA,10/29/90
Dmitry Orlov,1499.62087,40.29433231,117,Dmitry Orlov,D,WSH,7/23/91
Dominic Moore,1495.69506,36.26945932,86,Dominic Moore,C,NYR,8/3/80
Dominik Simon,1488.74449,29.14350023,31,Dominik Simon,C,PIT,8/8/94
Dougie Hamilton,1524.52329,65.82513428,100,Dougie Hamilton,D,CGY,6/17/93
Drew Doughty,1545.10566,86.9268751,122,Drew Doughty,D,LAK,12/8/89
Drew Miller,1478.4821,18.62215143,91,Drew Miller,L,DET,2/17/84
Drew Stafford,1503.53055,44.30266828,102,Drew Stafford,R,WPG,10/30/85
Duncan Keith,1554.22502,96.27635094,123,Duncan Keith,D,CHI,7/16/83
Dustin Brown,1494.39811,34.93978238,98,Dustin Brown,R,LAK,11/4/84
Dustin Byfuglien,1537.15659,78.77722008,118,Dustin Byfuglien,D,WPG,3/27/85
Dwight King,1480.0598,20.23966275,101,Dwight King,L,LAK,7/5/89
Dylan Larkin,1509.92371,50.85715182,41,Dylan Larkin,C,DET,7/30/96
Dylan McIlrath,1489.77169,30.19662036,49,Dylan McIlrath,D,NYR,4/20/92
Eddie Lack,1502.19571,42.93414524,126,Eddie Lack,G,CAR,1/5/88
Elias Lindholm,1509.02611,49.93690199,71,Elias Lindholm,C,CAR,12/2/94
Emerson Etem,1491.22985,31.69157523,93,Emerson Etem,R,VAN,6/16/92
Eric Fehr,1493.5199,34.03941183,70,Eric Fehr,C,PIT,9/7/85
Eric Gelinas,1501.4954,42.21616377,59,Eric Gelinas,D,COL,5/8/91
Eric Gryba,1472.11722,12.0966615,128,Eric Gryba,D,EDM,4/14/88
Eric Nystrom,1482.55678,22.79965097,100,Eric Nystrom,L,NSH,2/14/83
Eric Staal,1530.62425,72.08004451,115,Eric Staal,C,NYR,10/29/84
Erik Condra,1502.06006,42.79507228,98,Erik Condra,R,TBL,8/6/86
Erik Gudbranson,1497.26693,37.88099353,92,Erik Gudbranson,D,FLA,1/7/92
Erik Gustafsson,1501.15718,41.86940921,34,Erik Gustafsson,D,CHI,3/14/92
Erik Haula,1486.31165,26.6492705,122,Erik Haula,C,MIN,3/23/91
Erik Johnson,1525.46861,66.79430827,110,Erik Johnson,D,COL,3/21/88
Erik Karlsson,1550.48982,92.44689776,136,Erik Karlsson,D,OTT,5/31/90
Evander Kane,1518.96914,60.13083213,91,Evander Kane,L,BUF,8/2/91
Evgeni Malkin,1553.28503,95.31264145,132,Evgeni Malkin,C,PIT,7/31/86
